NAME,SIMBADNAME,SIMBADURL,DATE,MASS,R,BMV,MSTAR,RSTAR,TEFF,A,PER,ECC,DIST,NCOMP,PLANETDISCMETH
Kepler-310 d,Kepler-310,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-310,2014,0.019315,0.220359,,,0.876,5797,0.401368,92.876125,,,3,Transit
Kepler-204 c,Kepler-204,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-204,2014,0.0131908,0.159693,,,1.238,5812,0.170262,25.660593,,,2,Transit
Kepler-26 b,Kepler-26,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-26,2011,0.0397121,0.320884,,0.65,0.59,3933,0.0902469,12.282356,0,,4,Transit
Kepler-374 c,Kepler-374,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-374,2014,0.00409374,0.0981354,,,0.911,5977,0.0432285,3.282807,,,3,Transit
Kepler-395 b,Kepler-395,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-395,2014,0.00324127,0.0918904,,,0.556,4262,0.0719854,7.054346,,,2,Transit
HD 126614 A b,HD 126614 A,http://simbad.harvard.edu/simbad/sim-id?Ident=HD+126614+A,2010,0.385706,,0.81,1.145,1.10978,5585,2.36847,1244,0.41,72.6216,1,RV
Kepler-80 e,Kepler-80,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-80,2014,0.0121773,0.146311,,,0.637,4613,0.0544864,4.645387,,,4,Transit
Kepler-83 d,Kepler-83,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-83,2014,0.014298,0.173075,,,0.594,4648,0.0585134,5.169796,,,3,Transit
Kepler-167 b,Kepler-167,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-167,2014,0.010538,0.12936,,,0.696,4796,0.0524957,4.393147,,,2,Transit
Kepler-295 d,Kepler-295,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-295,2014,0.00850717,0.121331,,,0.898,5603,0.204929,33.884054,,,3,Transit
Kepler-337 b,Kepler-337,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-337,2014,0.0115417,0.13739,,,1.761,5684,0.043316,3.292781,,,2,Transit
HD 177830 b,HD 177830,http://simbad.harvard.edu/simbad/sim-id?Ident=HD+177830,2000,1.31967,,1.093,1.17,3.99397,4752,1.13872,410.1,0.096,59.0319,1,RV
Kepler-226 d,Kepler-226,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-226,2014,0.00587447,0.108841,,,0.802,5571,0.0789926,8.109044,,,3,Transit
HD 38283 b,HD 38283,http://simbad.harvard.edu/simbad/sim-id?Ident=HD+38283,2011,0.338157,,0.563,1.085,1.50465,5998,1.02382,363.2,0.41,38.3142,1,RV
Kepler-386 b,Kepler-386,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-386,2014,0.00915403,0.124008,,,0.767,5178,0.104341,12.31043,,,2,Transit
HD 217786 b,LTT 9337,http://simbad.harvard.edu/simbad/sim-id?Ident=LTT+9337,2011,13.1868,,0.578,1.02,1.15058,5966,2.3791,1319,0.4,54.8546,1,RV
Kepler-363 c,Kepler-363,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-363,2014,0.0125062,0.150772,,,1.485,5593,0.0752686,7.542427,,,3,Transit
Kepler-24 d,Kepler-24,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-24,2014,0.0123736,0.148987,,,1.289,5897,0.0513038,4.244384,,,4,Transit
HD 32518 b,HD 32518,http://simbad.harvard.edu/simbad/sim-id?Ident=HD+32518,2009,3.34549,,1.107,1.13,24.3641,4580,0.595162,157.54,0.01,120.627,1,RV
Kepler-402 c,Kepler-402,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-402,2014,0.0116666,0.139174,,,1.264,6090,0.0655142,6.124821,,,4,Transit
Kepler-435 b,KOI-680,http://simbad.harvard.edu/simbad/sim-id?Ident=KOI-680,2010,0.84,1.99,,1.538,3.21,6090,0.0948432,8.6001536,0.114,2070,1,Transit
WASP-18 b,WASP-18,http://simbad.harvard.edu/simbad/sim-id?Ident=WASP-18,2009,10.2006,1.267,0.49,1.22,1.216,6400,0.0201401,0.9414529,0.00848,99.4036,1,Transit
CoRoT-6 b,CoRoT-Exo-6,http://simbad.harvard.edu/simbad/sim-id?Ident=CoRoT-Exo-6,2010,2.95364,1.166,0.726,1.05,1.025,6090,0.0854177,8.886593,0,,1,Transit
Kepler-127 c,Kepler-127,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-127,2014,0.0216742,0.237309,,,1.359,6106,0.186396,29.393195,,,3,Transit
Kepler-203 c,Kepler-203,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-203,2014,0.019315,0.220359,,,1.114,5821,0.0600193,5.370647,,,3,Transit
HD 73267 b,HD 73267,http://simbad.harvard.edu/simbad/sim-id?Ident=HD+73267,2009,3.06257,,0.806,0.89,1.16642,5317,2.19849,1260,0.256,54.2005,1,RV
HD 147513 b,HD 147513,http://simbad.harvard.edu/simbad/sim-id?Ident=HD+147513,2004,1.17965,,0.625,1.072,0.850084,5929.74,1.30958,528.40002,0.26,12.7779,1,RV
HD 72659 b,HD 72659,http://simbad.harvard.edu/simbad/sim-id?Ident=HD+72659,2003,3.1741,,0.612,1.068,1.34287,5919.51,4.75375,3658,0.22,49.8256,1,RV
BD +14 4559 b,BD +14 4559,http://simbad.harvard.edu/simbad/sim-id?Ident=BD+%2B14+4559,2009,1.51929,,0.98,0.86,0.725686,4814,0.775866,268.94,0.29,48.3559,1,RV
HD 1605 b,HD 1605,http://simbad.harvard.edu/simbad/sim-id?Ident=HD+1605,2015,0.96903,,0.96,1.31,3.8,4757,1.48605,577.9,0.078,84.6,2,RV
Kepler-202 b,Kepler-202,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-202,2014,0.0121124,0.145419,,,0.667,4668,0.0498841,4.069427,,,2,Transit
HD 197037 b,HD 197037,http://simbad.harvard.edu/simbad/sim-id?Ident=HD+197037,2012,0.807324,,0.45,1.11,1.09866,6150,2.07477,1035.7,0.22,32.3311,1,RV
HD 70642 b,HD 70642,http://simbad.harvard.edu/simbad/sim-id?Ident=HD+70642,2003,1.90944,,0.692,1.002,1.03139,5705.54,3.18072,2068,0.034,28.0662,1,RV
KELT-2 A b,KELT-2A,http://simbad.harvard.edu/simbad/sim-id?Ident=KELT-2A,2012,1.52064,1.286,0.52,1.308,1.828,6151,0.0549707,4.1137912,0,128.5,1,Transit
Kepler-10 b,Kepler-10,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-10,2011,0.0142824,0.126327,,0.895,1.056,5627,0.0167573,0.837495,0,173,2,Transit
Kepler-208 e,Kepler-208,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-208,2014,0.0112762,0.132037,,,1.314,6092,0.125606,16.259458,,,4,Transit
Kepler-270 c,Kepler-270,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-270,2014,0.0130508,0.157909,,,1.461,6067,0.168498,25.262887,,,2,Transit
Kepler-225 c,Kepler-225,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-225,2014,0.0135483,0.164154,,,0.48,3682,0.138343,18.794234,,,2,Transit
Kepler-150 d,Kepler-150,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-150,2014,0.0235009,0.248907,,,0.939,5560,0.105752,12.56093,,,4,Transit
Kepler-405 b,Kepler-405,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-405,2014,0.015437,0.185565,,,0.893,5818,0.0945195,10.613839,,,2,Transit
Kepler-208 b,Kepler-208,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-208,2014,0.0121124,0.145419,,,1.314,6092,0.0511769,4.22864,,,4,Transit
M 67 YBP 1194 b,Cl* NGC 2682 YBP 1194,http://simbad.harvard.edu/simbad/sim-id?Ident=Cl*+NGC+2682+YBP+1194,2014,0.346328,,0.626,1.01,1.01765,5780,0.0715732,6.958,0.24,843.335,1,RV
Kepler-325 d,Kepler-325,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-325,2014,0.0235009,0.248907,,,1.003,5752,0.223972,38.715185,,,3,Transit
Kepler-340 c,Kepler-340,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-340,2014,0.0341953,0.300651,,,1.85,6620,0.157474,22.824669,,,2,Transit
HD 40307 c,HD 40307,http://simbad.harvard.edu/simbad/sim-id?Ident=HD+40307,2009,0.0211468,,0.92,0.74,0.839223,4977,0.0800702,9.62,0,12.9955,3,RV
HD 142 b,HD 142,http://simbad.harvard.edu/simbad/sim-id?Ident=HD+142,2002,1.3057,,0.519,1.232,1.5121,6248.6,1.04292,350.3,0.26,25.7136,1,RV
Kepler-257 b,Kepler-257,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-257,2014,0.0210192,0.232849,,,1.037,5180,0.0349126,2.382667,,,3,Transit
WASP-10 b,WASP-10,http://simbad.harvard.edu/simbad/sim-id?Ident=WASP-10,2009,3.19144,1.08,,0.79,0.698,4675,0.0384536,3.0927616,0.0507142,90.0901,1,Transit
GJ 328 b,LHS 255,http://simbad.harvard.edu/simbad/sim-id?Ident=LHS+255,2013,2.3,,1.32,0.69,,3900,4.43476,4100,0.37,19.8,1,RV
WASP-17 b,WASP-17,http://simbad.harvard.edu/simbad/sim-id?Ident=WASP-17,2010,0.508547,1.932,0.24,1.19,1.2,6550,0.0499354,3.735433,0,400,1,Transit
HAT-P-17 b,TYC 2717-417-1,http://simbad.harvard.edu/simbad/sim-id?Ident=TYC+2717-417-1,2012,0.530158,1.01,0.83,0.857,0.837,5246,0.0882385,10.338523,0.346,90.0009,1,Transit
Kepler-162 b,Kepler-162,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-162,2014,0.00656354,0.11241,,,0.958,5816,0.0710671,6.919798,,,2,Transit
HD 67087 b,HD 67087,http://simbad.harvard.edu/simbad/sim-id?Ident=HD+67087,2015,3.09805,,0.53,1.36,1.55,6330,1.08217,352.2,0.17,88.8,1,RV
Kepler-293 c,Kepler-293,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-293,2014,0.0463015,0.34169,,,0.957,5804,0.280136,54.155743,,,2,Transit
HD 102329 b,HD 102329,http://simbad.harvard.edu/simbad/sim-id?Ident=HD+102329,2011,4.47808,,1.04,1.3,7.27206,4745,1.80892,778.1,0.211,158.003,1,RV
HD 159868 b,HD 159868,http://simbad.harvard.edu/simbad/sim-id?Ident=HD+159868,2007,2.20004,,0.72,1.16,1.84825,5558,2.29553,1178.4,0.01,58.6854,2,RV
Kepler-424 b,2MASS J19542997+4834388,http://simbad.harvard.edu/simbad/sim-id?Ident=2MASS+J19542997%2B4834388,2014,0.770225,0.89,,1.01,0.94,5460,0.0436419,3.3118644,0.002,,2,Transit
Kepler-262 c,Kepler-262,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-262,2014,0.0121773,0.146311,,,0.881,5841,0.152976,21.853722,,,2,Transit
WASP-117 b,CD-50 714,http://simbad.harvard.edu/simbad/sim-id?Ident=CD-50+714,2014,0.2755,1.021,,1.126,1.17,6040,0.0946483,10.02165,0.302,,1,Transit
WASP-75 b,GSC 05816-01135,http://simbad.harvard.edu/simbad/sim-id?Ident=GSC+05816-01135,2013,1.07,1.27,0.6,1.14,1.26,6100,0.0375112,2.484193,0,260,1,Transit
Kepler-222 b,Kepler-222,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-222,2014,0.0297967,0.281916,,,0.869,5433,0.0487958,3.936981,,,3,Transit
Kepler-334 b,Kepler-334,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-334,2014,0.00436179,0.0999197,,,1.068,5828,0.0607596,5.470319,,,3,Transit
HD 114783 b,HD 114783,http://simbad.harvard.edu/simbad/sim-id?Ident=HD+114783,2002,1.10505,,0.93,0.853,0.837785,5135.09,1.15987,493.7,0.144,20.5002,1,RV
GJ 581 e,GJ 581,http://simbad.harvard.edu/simbad/sim-id?Ident=GJ+581,2009,0.00613456,,1.6,0.31,0.299,3498,0.028459,3.14945,0.32,6.24532,3,RV
Kepler-327 c,Kepler-327,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-327,2014,0.00324127,0.0918904,,,0.492,3799,0.0588339,5.212333,,,3,Transit
Kepler-419 b,Kepler-419b,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-419b,2010,2.5,,,1.39,1.75,6430,0.370106,69.7546,0.833,,2,Transit
epsilon Ret b,epsilon Ret,http://simbad.harvard.edu/simbad/sim-id?Ident=epsilon+Ret,2001,1.37669,,1.078,1.24,3.51559,4781,1.19471,428.1,0.06,18.2382,1,RV
GJ 674 b,GJ 674,http://simbad.harvard.edu/simbad/sim-id?Ident=GJ+674,2007,0.034879,,1.53,0.35,,3600,0.0386657,4.6938,0.2,4.5405,1,RV
HD 7924 c,HD 7924,http://simbad.harvard.edu/simbad/sim-id?Ident=HD+7924,2015,0.0248402,,0.826,0.832,0.7821,5177,0.113438,15.299,0.098,16.8095,3,RV
Kepler-57 c,Kepler-57,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-57,2013,0.0115953,0.138158,,0.83,0.73,5145,0.0942979,11.6092567,,,2,Transit
HD 168443 c,HD 168443,http://simbad.harvard.edu/simbad/sim-id?Ident=HD+168443,2001,17.3857,,0.724,0.995,1.58859,5491,2.85281,1749.83,0.2113,37.4252,2,RV
Kepler-172 c,Kepler-172,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-172,2014,0.0245625,0.255152,,,1.085,5526,0.0673847,6.388996,,,4,Transit
WASP-70 A b,HD 358155,http://simbad.harvard.edu/simbad/sim-id?Ident=HD+358155,2014,0.590076,1.164,0.96,1.106,1.215,5700,0.0485382,3.7130203,0,245,1,Transit
Kepler-400 c,Kepler-400,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-400,2014,0.0115291,0.132929,,,1.145,5886,0.131115,17.340824,,,2,Transit
Kepler-220 e,Kepler-220,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-220,2014,0.00789025,0.118655,,,0.666,4632,0.250899,45.902733,,,4,Transit
WASP-57 b,WASP-57,http://simbad.harvard.edu/simbad/sim-id?Ident=WASP-57,2013,0.675887,0.916,0.56,0.954,0.836,5600,0.0386362,2.838971,0,455,1,Transit
HAT-P-37 b,HAT-P-37,http://simbad.harvard.edu/simbad/sim-id?Ident=HAT-P-37,2012,1.17362,1.178,-0.129999,0.929,0.877,5500,0.0379273,2.79736,0.058,411,1,Transit
Kepler-198 c,Kepler-198,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-198,2014,0.019315,0.220359,,,0.94,5574,0.264081,49.567416,,,2,Transit
Kepler-249 b,Kepler-249,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-249,2014,0.00396389,0.0972433,,,0.482,3568,0.0434366,3.306539,,,3,Transit
WASP-106 b,TYC 4927-1063-1,http://simbad.harvard.edu/simbad/sim-id?Ident=TYC+4927-1063-1,2014,1.925,1.085,,1.092,1.393,6055,0.089107,9.289715,0,283,1,Transit
HD 81040 b,HD 81040,http://simbad.harvard.edu/simbad/sim-id?Ident=HD+81040,2006,6.87654,,0.68,0.96,0.918818,5700,1.9372,1001.7,0.526,33.1126,1,RV
HD 208527 b,HR 8372,http://simbad.harvard.edu/simbad/sim-id?Ident=HR+8372,2013,10.014,,1.698,1.6,41.0489,4035,2.099,875.5,0.08,403.226,1,RV
Kepler-165 b,Kepler-165,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-165,2014,0.0176845,0.206977,,,0.77,5211,0.0794582,8.180848,,,2,Transit
